                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 1.4049,                  2.764,                 1.5806,                 1.4163,                0.31798,                0.46289,                0.33211,                0.14549,                0.38025,                0.47235,                0.36516,                0.11887,                 1.7334,                 3.1073,                 1.8027,                 1.7628,              0.0006535,              0.0006535,              0.0006535
                     38,                 1.3967,                 2.7711,                 1.5698,                 1.4254,                 0.3085,                0.35275,                0.28762,                0.13536,                0.30541,                0.37743,                0.27403,                0.10312,                 1.7847,                 3.0754,                 1.8132,                 1.7477,              0.0006436,              0.0006436,              0.0006436
                     39,                 1.3892,                 2.7128,                 1.5251,                 1.3961,                0.35365,                0.49357,                0.37256,                0.14776,                0.33845,                0.45502,                0.32976,                0.14473,                 1.7499,                 3.1366,                 1.8547,                 1.7584,              0.0006337,              0.0006337,              0.0006337
                     40,                 1.4129,                 2.7283,                 1.5415,                 1.4166,                0.37942,                0.47512,                0.35004,                0.13285,                0.34896,                0.43166,                0.30928,                0.10733,                 1.7859,                 3.1234,                 1.8368,                 1.7576,              0.0006238,              0.0006238,              0.0006238
                     41,                 1.3928,                 2.8026,                 1.5294,                 1.4063,                0.45137,                0.35545,                0.31414,                0.12553,                 0.4406,                 0.3085,                0.24745,                0.10141,                 1.7262,                 3.0942,                 1.8654,                 1.7028,              0.0006139,              0.0006139,              0.0006139
                     42,                 1.3606,                 2.7305,                 1.4933,                 1.3848,                0.53113,                 0.3314,                 0.3124,                0.13873,                0.53662,                0.27458,                 0.3205,                0.11075,                 1.8166,                 3.0959,                 1.7732,                  1.769,               0.000604,               0.000604,               0.000604
                     43,                 1.3499,                 2.7447,                 1.4693,                 1.3939,                0.53706,                0.31117,                0.30592,                0.14549,                0.52053,                 0.2793,                0.29267,                0.11057,                 1.7453,                 3.0935,                 1.8044,                 1.7249,              0.0005941,              0.0005941,              0.0005941
                     44,                 1.3547,                 2.6372,                 1.4843,                 1.3882,                0.45077,                0.37541,                0.33339,                 0.1335,                0.44057,                0.36305,                0.29311,                0.10236,                 1.7258,                 3.0364,                 1.8505,                 1.7084,              0.0005842,              0.0005842,              0.0005842
                     45,                 1.3549,                 2.7019,                 1.4386,                 1.3867,                0.45802,                0.46133,                0.36057,                0.14488,                0.44078,                  0.423,                0.30737,                0.11465,                 1.7574,                 3.1614,                 1.8391,                  1.754,              0.0005743,              0.0005743,              0.0005743
                     46,                 1.3525,                 2.7301,                 1.4629,                 1.3919,                0.34634,                0.31667,                0.28274,                0.12424,                0.46205,                0.33039,                0.30559,                0.11926,                 1.7555,                  3.081,                 1.7486,                 1.7311,              0.0005644,              0.0005644,              0.0005644
                     47,                 1.3718,                 2.6792,                 1.5098,                 1.3848,                0.39759,                 0.4162,                0.31685,                0.14778,                0.45819,                0.40564,                0.35554,                0.12279,                 1.7154,                 3.0315,                 1.7581,                   1.72,              0.0005545,              0.0005545,              0.0005545
                     48,                 1.3634,                 2.6688,                  1.456,                 1.3893,                0.30326,                0.49658,                 0.3514,                0.16776,                0.34608,                  0.349,                0.29723,                0.12052,                 1.6714,                 3.0768,                 1.7327,                 1.6833,              0.0005446,              0.0005446,              0.0005446
                     49,                 1.3559,                 2.7319,                 1.4415,                 1.3814,                0.34913,                0.32349,                 0.2876,                0.12217,                0.42459,                0.32893,                 0.2798,                0.08736,                   1.78,                  3.177,                 1.7595,                 1.7797,              0.0005347,              0.0005347,              0.0005347
                     50,                 1.3223,                  2.665,                 1.3726,                 1.3582,                 0.5325,                0.47851,                0.43168,                0.16442,                0.50193,                0.44664,                0.42102,                 0.1488,                 1.7288,                 3.0567,                 1.6629,                 1.7171,              0.0005248,              0.0005248,              0.0005248
                     51,                 1.3306,                 2.5986,                  1.391,                 1.3673,                0.34865,                0.48908,                0.34832,                0.15459,                0.47488,                0.46918,                0.38384,                0.13166,                  1.693,                 3.0048,                 1.6266,                 1.6961,              0.0005149,              0.0005149,              0.0005149
                     52,                 1.2876,                 2.5665,                 1.3451,                 1.3403,                0.47803,                0.35483,                0.27453,                0.12326,                0.45405,                0.32907,                0.24259,                0.09598,                 1.7691,                 3.0528,                 1.7339,                 1.7561,               0.000505,               0.000505,               0.000505
                     53,                 1.3064,                 2.6564,                 1.3435,                 1.3524,                0.53945,                0.34361,                0.32877,                0.15343,                0.50129,                0.30206,                0.27857,                0.11242,                 1.7451,                 3.0975,                   1.69,                 1.7197,              0.0004951,              0.0004951,              0.0004951
                     54,                 1.3113,                 2.5826,                 1.3383,                 1.3681,                0.53868,                0.35388,                0.31159,                0.15077,                0.51194,                0.31659,                0.26144,                 0.1131,                 1.7546,                 3.1375,                 1.7038,                  1.767,              0.0004852,              0.0004852,              0.0004852
                     55,                 1.3002,                 2.5899,                 1.3679,                 1.3387,                0.48571,                0.39233,                0.30467,                0.13831,                0.47886,                0.34469,                0.26119,                0.10356,                 1.7096,                 3.0365,                  1.795,                 1.7122,              0.0004753,              0.0004753,              0.0004753
                     56,                 1.2801,                 2.5595,                 1.3294,                 1.3252,                0.43641,                0.51588,                0.38381,                0.15506,                0.52858,                0.36216,                0.29832,                0.11171,                 1.7173,                 3.1906,                 1.7636,                 1.7289,              0.0004654,              0.0004654,              0.0004654
                     57,                 1.2912,                 2.5921,                 1.3001,                 1.3323,                0.29067,                0.36451,                0.30414,                0.14383,                0.29789,                 0.3171,                0.28186,                0.11293,                 1.7042,                 3.1066,                 1.7574,                 1.7253,              0.0004555,              0.0004555,              0.0004555
                     58,                 1.2896,                  2.537,                 1.3023,                 1.3278,                0.53649,                0.37197,                0.30689,                0.14754,                0.32262,                0.46884,                0.30069,                0.10985,                 1.6669,                  3.083,                 1.6318,                 1.6711,              0.0004456,              0.0004456,              0.0004456
                     59,                 1.2809,                 2.5883,                 1.3206,                 1.3318,                0.40631,                0.30975,                0.31731,                0.14716,                0.53426,                0.34621,                0.34617,                0.13603,                 1.6818,                  3.088,                 1.6852,                 1.6772,              0.0004357,              0.0004357,              0.0004357
                     60,                 1.2778,                   2.56,                 1.2908,                 1.3239,                0.29033,                0.35872,                0.29345,                0.13915,                0.29759,                0.33661,                0.26628,                 0.1088,                 1.7099,                 3.2271,                 1.7083,                 1.7115,              0.0004258,              0.0004258,              0.0004258
                     61,                 1.2577,                 2.4886,                 1.3059,                 1.3165,                0.32129,                 0.3935,                0.32288,                0.14498,                0.32285,                0.35902,                0.30522,                0.11592,                 1.7193,                 3.1205,                 1.6774,                 1.7292,              0.0004159,              0.0004159,              0.0004159
                     62,                 1.2217,                 2.5409,                 1.2663,                 1.2904,                0.60638,                0.34476,                0.34433,                0.16599,                0.31049,                 0.4671,                0.33964,                0.13491,                 1.7487,                 3.1419,                 1.6678,                 1.7417,               0.000406,               0.000406,               0.000406
                     63,                 1.2583,                 2.5864,                 1.2626,                  1.309,                 0.5926,                0.36645,                0.34142,                0.16696,                0.55938,                0.34095,                0.29145,                0.12167,                 1.7144,                 2.9991,                 1.6314,                 1.7113,              0.0003961,              0.0003961,              0.0003961
                     64,                 1.2535,                 2.5076,                 1.2267,                 1.3057,                 0.5255,                0.33898,                0.29841,                0.13076,                0.50225,                0.31482,                0.28407,                0.11056,                 1.7404,                 3.1826,                 1.7431,                 1.6948,              0.0003862,              0.0003862,              0.0003862
                     65,                 1.2404,                 2.4888,                 1.2485,                 1.2979,                  0.501,                0.40247,                 0.3215,                0.15214,                0.28232,                0.47925,                0.30932,                0.11731,                 1.7588,                 3.1193,                 1.7429,                 1.7313,              0.0003763,              0.0003763,              0.0003763
                     66,                  1.234,                 2.5104,                 1.2503,                 1.3019,                0.56251,                0.37113,                0.33684,                0.15733,                0.56692,                0.33334,                0.30279,                0.12377,                 1.7332,                  3.025,                  1.628,                 1.6958,              0.0003664,              0.0003664,              0.0003664
                     67,                  1.221,                 2.4578,                 1.2005,                 1.2882,                0.52434,                0.37695,                  0.328,                0.15019,                0.52625,                0.32135,                0.28023,                0.11353,                 1.7426,                 3.0595,                 1.6757,                 1.7215,              0.0003565,              0.0003565,              0.0003565
                     68,                  1.193,                  2.441,                  1.186,                 1.2841,                0.32327,                0.51071,                0.32951,                 0.1507,                0.56779,                0.31024,                0.30024,                 0.1234,                 1.7749,                 3.1518,                 1.8344,                 1.7551,              0.0003466,              0.0003466,              0.0003466
                     69,                 1.2065,                 2.4604,                 1.2055,                 1.2756,                0.39331,                0.52712,                0.36714,                0.15775,                0.37176,                0.48693,                0.33477,                0.12875,                 1.7888,                 3.0938,                 1.6945,                 1.7873,              0.0003367,              0.0003367,              0.0003367
